timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750702109780,5,characters,200,OK,Thread Group 1-1,text,true,,340,122,1,1,http://localhost:3001/characters,5,0,2
1750702109786,3,character/2,404,Not Found,Thread Group 1-1,text,false,,273,229,1,1,http://localhost:3001/character/9,3,0,0
1750702109790,2,characters/id,404,Not Found,Thread Group 1-1,text,false,,273,123,1,1,http://localhost:3001/character/8,2,0,0
1750702109794,2, HTTP Request Sampler,200,OK,Thread Group 1-1,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702109798,2,characters,200,OK,Thread Group 1-1,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702109801,3,character/2,200,OK,Thread Group 1-1,text,true,,268,229,1,1,http://localhost:3001/character/3,3,0,0
1750702109805,3,characters/id,200,OK,Thread Group 1-1,text,true,,268,123,1,1,http://localhost:3001/character/3,3,0,0
1750702109809,3, HTTP Request Sampler,200,OK,Thread Group 1-1,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110070,3,characters,200,OK,Thread Group 1-2,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110073,2,character/2,404,Not Found,Thread Group 1-2,text,false,,273,229,1,1,http://localhost:3001/character/7,2,0,0
1750702110076,2,characters/id,404,Not Found,Thread Group 1-2,text,false,,273,123,1,1,http://localhost:3001/character/0,2,0,0
1750702110078,3, HTTP Request Sampler,200,OK,Thread Group 1-2,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,0
1750702110082,2,characters,200,OK,Thread Group 1-2,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110084,3,character/2,404,Not Found,Thread Group 1-2,text,false,,273,229,1,1,http://localhost:3001/character/9,2,0,0
1750702110087,3,characters/id,404,Not Found,Thread Group 1-2,text,false,,273,123,1,1,http://localhost:3001/character/4,3,0,0
1750702110090,2, HTTP Request Sampler,200,OK,Thread Group 1-2,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110359,4,characters,200,OK,Thread Group 1-3,text,true,,340,122,1,1,http://localhost:3001/characters,4,0,1
1750702110364,1,character/2,200,OK,Thread Group 1-3,text,true,,268,229,1,1,http://localhost:3001/character/3,1,0,0
1750702110366,2,characters/id,200,OK,Thread Group 1-3,text,true,,268,123,1,1,http://localhost:3001/character/3,2,0,0
1750702110368,2, HTTP Request Sampler,200,OK,Thread Group 1-3,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110371,2,characters,200,OK,Thread Group 1-3,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110373,3,character/2,404,Not Found,Thread Group 1-3,text,false,,273,229,1,1,http://localhost:3001/character/0,3,0,0
1750702110377,1,characters/id,200,OK,Thread Group 1-3,text,true,,273,123,1,1,http://localhost:3001/character/2,1,0,0
1750702110379,1, HTTP Request Sampler,200,OK,Thread Group 1-3,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702110651,3,characters,200,OK,Thread Group 1-4,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,1
1750702110654,2,character/2,200,OK,Thread Group 1-4,text,true,,268,229,1,1,http://localhost:3001/character/3,2,0,0
1750702110656,2,characters/id,200,OK,Thread Group 1-4,text,true,,268,123,1,1,http://localhost:3001/character/3,2,0,0
1750702110659,2, HTTP Request Sampler,200,OK,Thread Group 1-4,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110662,1,characters,200,OK,Thread Group 1-4,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702110664,2,character/2,200,OK,Thread Group 1-4,text,true,,273,229,1,1,http://localhost:3001/character/2,2,0,0
1750702110666,2,characters/id,200,OK,Thread Group 1-4,text,true,,273,123,1,1,http://localhost:3001/character/2,2,0,0
1750702110668,2, HTTP Request Sampler,200,OK,Thread Group 1-4,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110942,3,characters,200,OK,Thread Group 1-5,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,1
1750702110946,1,character/2,404,Not Found,Thread Group 1-5,text,false,,273,229,1,1,http://localhost:3001/character/6,1,0,0
1750702110947,2,characters/id,404,Not Found,Thread Group 1-5,text,false,,273,123,1,1,http://localhost:3001/character/5,2,0,0
1750702110949,2, HTTP Request Sampler,200,OK,Thread Group 1-5,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110951,2,characters,200,OK,Thread Group 1-5,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702110953,2,character/2,404,Not Found,Thread Group 1-5,text,false,,273,229,1,1,http://localhost:3001/character/5,2,0,0
1750702110956,2,characters/id,404,Not Found,Thread Group 1-5,text,false,,273,123,1,1,http://localhost:3001/character/9,2,0,0
1750702110958,3, HTTP Request Sampler,200,OK,Thread Group 1-5,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,0
1750702111233,3,characters,200,OK,Thread Group 1-6,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,0
1750702111237,3,character/2,404,Not Found,Thread Group 1-6,text,false,,273,229,1,1,http://localhost:3001/character/5,3,0,0
1750702111240,2,characters/id,404,Not Found,Thread Group 1-6,text,false,,273,123,1,1,http://localhost:3001/character/7,2,0,0
1750702111242,1, HTTP Request Sampler,200,OK,Thread Group 1-6,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702111244,1,characters,200,OK,Thread Group 1-6,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702111246,1,character/2,404,Not Found,Thread Group 1-6,text,false,,273,229,1,1,http://localhost:3001/character/6,1,0,0
