timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750703224668,4,characters,200,OK,Thread Group 1-1,text,true,,340,122,1,1,http://localhost:3001/characters,4,0,1
1750703224672,2,character/2,200,OK,Thread Group 1-1,text,true,,264,229,2,2,http://localhost:3001/character/1,2,0,0
1750703224672,3,characters,200,OK,Thread Group 1-2,text,true,,340,122,2,2,http://localhost:3001/characters,3,0,1
1750703224674,2,characters/id,200,OK,Thread Group 1-1,text,true,,268,123,2,2,http://localhost:3001/character/3,2,0,0
1750703224676,1,character/2,200,OK,Thread Group 1-2,text,true,,273,229,2,2,http://localhost:3001/character/2,1,0,0
1750703224677,1, HTTP Request Sampler,200,OK,Thread Group 1-1,text,true,,340,122,2,2,http://localhost:3001/characters,1,0,0
1750703224677,2,characters/id,404,Not Found,Thread Group 1-2,text,false,,273,123,3,3,http://localhost:3001/character/6,2,0,0
1750703224678,2,characters,200,OK,Thread Group 1-1,text,true,,340,122,3,3,http://localhost:3001/characters,2,0,0
1750703224679,3, HTTP Request Sampler,200,OK,Thread Group 1-2,text,true,,340,122,3,3,http://localhost:3001/characters,3,0,0
1750703224680,3,character/2,404,Not Found,Thread Group 1-1,text,false,,273,229,4,4,http://localhost:3001/character/7,3,0,0
1750703224679,5,characters,200,OK,Thread Group 1-3,text,true,,340,122,4,4,http://localhost:3001/characters,5,0,0
1750703224682,3,characters,200,OK,Thread Group 1-2,text,true,,340,122,4,4,http://localhost:3001/characters,3,0,0
1750703224684,2,characters/id,404,Not Found,Thread Group 1-1,text,false,,273,123,4,4,http://localhost:3001/character/6,2,0,0
1750703224685,2,character/2,404,Not Found,Thread Group 1-2,text,false,,273,229,4,4,http://localhost:3001/character/9,2,0,0
1750703224684,4,character/2,404,Not Found,Thread Group 1-3,text,false,,273,229,4,4,http://localhost:3001/character/0,4,0,0
1750703224687,2,characters/id,404,Not Found,Thread Group 1-2,text,false,,273,123,4,4,http://localhost:3001/character/8,2,0,0
1750703224686,3, HTTP Request Sampler,200,OK,Thread Group 1-1,text,true,,340,122,4,4,http://localhost:3001/characters,3,0,0
1750703224684,6,characters,200,OK,Thread Group 1-4,text,true,,340,122,4,4,http://localhost:3001/characters,6,0,0
1750703224689,2, HTTP Request Sampler,200,OK,Thread Group 1-2,text,true,,340,122,4,4,http://localhost:3001/characters,2,0,0
1750703224690,3,characters,200,OK,Thread Group 1-1,text,true,,340,122,5,5,http://localhost:3001/characters,3,0,0
1750703224688,6,characters/id,404,Not Found,Thread Group 1-3,text,false,,273,123,5,5,http://localhost:3001/character/9,6,0,0
1750703224691,4,characters,200,OK,Thread Group 1-2,text,true,,340,122,5,5,http://localhost:3001/characters,4,0,0
1750703224693,3,character/2,200,OK,Thread Group 1-1,text,true,,273,229,6,6,http://localhost:3001/character/2,3,0,0
1750703224691,6,character/2,404,Not Found,Thread Group 1-4,text,false,,273,229,6,6,http://localhost:3001/character/4,6,0,0
1750703224695,4,character/2,404,Not Found,Thread Group 1-2,text,false,,273,229,6,6,http://localhost:3001/character/5,4,0,0
1750703224696,5,characters/id,200,OK,Thread Group 1-1,text,true,,268,123,6,6,http://localhost:3001/character/3,5,0,0
1750703224697,5,characters/id,404,Not Found,Thread Group 1-4,text,false,,273,123,6,6,http://localhost:3001/character/4,5,0,0
1750703224694,9, HTTP Request Sampler,200,OK,Thread Group 1-3,text,true,,340,122,7,7,http://localhost:3001/characters,9,0,0
1750703224692,12,characters,200,OK,Thread Group 1-5,text,true,,340,122,7,7,http://localhost:3001/characters,12,0,1
