timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1750703224668,4,characters,200,OK,Thread Group 1-1,true,,340,1,1,4,1,0,T-OZEROVA.local
1750703224672,2,character/2,200,OK,Thread Group 1-1,true,,264,2,2,2,1,0,T-OZEROVA.local
1750703224672,3,characters,200,OK,Thread Group 1-2,true,,340,2,2,3,1,0,T-OZEROVA.local
1750703224674,2,characters/id,200,OK,Thread Group 1-1,true,,268,2,2,2,1,0,T-OZEROVA.local
1750703224676,1,character/2,200,OK,Thread Group 1-2,true,,273,2,2,1,1,0,T-OZEROVA.local
1750703224677,1, HTTP Request Sampler,200,OK,Thread Group 1-1,true,,340,2,2,1,1,0,T-OZEROVA.local
1750703224677,2,characters/id,404,Not Found,Thread Group 1-2,false,,273,3,3,2,1,1,T-OZEROVA.local
1750703224678,2,characters,200,OK,Thread Group 1-1,true,,340,3,3,2,1,0,T-OZEROVA.local
1750703224679,3, HTTP Request Sampler,200,OK,Thread Group 1-2,true,,340,3,3,3,1,0,T-OZEROVA.local
1750703224680,3,character/2,404,Not Found,Thread Group 1-1,false,,273,4,4,3,1,1,T-OZEROVA.local
1750703224679,5,characters,200,OK,Thread Group 1-3,true,,340,4,4,5,1,0,T-OZEROVA.local
1750703224682,3,characters,200,OK,Thread Group 1-2,true,,340,4,4,3,1,0,T-OZEROVA.local
1750703224684,2,characters/id,404,Not Found,Thread Group 1-1,false,,273,4,4,2,1,1,T-OZEROVA.local
1750703224685,2,character/2,404,Not Found,Thread Group 1-2,false,,273,4,4,2,1,1,T-OZEROVA.local
1750703224684,4,character/2,404,Not Found,Thread Group 1-3,false,,273,4,4,4,1,1,T-OZEROVA.local
1750703224687,2,characters/id,404,Not Found,Thread Group 1-2,false,,273,4,4,2,1,1,T-OZEROVA.local
1750703224686,3, HTTP Request Sampler,200,OK,Thread Group 1-1,true,,340,4,4,3,1,0,T-OZEROVA.local
1750703224684,6,characters,200,OK,Thread Group 1-4,true,,340,4,4,6,1,0,T-OZEROVA.local
1750703224689,2, HTTP Request Sampler,200,OK,Thread Group 1-2,true,,340,4,4,2,1,0,T-OZEROVA.local
1750703224690,3,characters,200,OK,Thread Group 1-1,true,,340,5,5,3,1,0,T-OZEROVA.local
1750703224688,6,characters/id,404,Not Found,Thread Group 1-3,false,,273,5,5,6,1,1,T-OZEROVA.local
1750703224691,4,characters,200,OK,Thread Group 1-2,true,,340,5,5,4,1,0,T-OZEROVA.local
1750703224693,3,character/2,200,OK,Thread Group 1-1,true,,273,6,6,3,1,0,T-OZEROVA.local
1750703224691,6,character/2,404,Not Found,Thread Group 1-4,false,,273,6,6,6,1,1,T-OZEROVA.local
1750703224695,4,character/2,404,Not Found,Thread Group 1-2,false,,273,6,6,4,1,1,T-OZEROVA.local
1750703224696,5,characters/id,200,OK,Thread Group 1-1,true,,268,6,6,5,1,0,T-OZEROVA.local
1750703224697,5,characters/id,404,Not Found,Thread Group 1-4,false,,273,6,6,5,1,1,T-OZEROVA.local
1750703224694,9, HTTP Request Sampler,200,OK,Thread Group 1-3,true,,340,7,7,9,1,0,T-OZEROVA.local
1750703224692,12,characters,200,OK,Thread Group 1-5,true,,340,7,7,12,1,0,T-OZEROVA.local
1750703224699,6,characters/id,404,Not Found,Thread Group 1-2,false,,273,7,7,6,1,1,T-OZEROVA.local
1750703224701,5, HTTP Request Sampler,200,OK,Thread Group 1-1,true,,340,7,7,5,1,0,T-OZEROVA.local
1750703224702,5, HTTP Request Sampler,200,OK,Thread Group 1-4,true,,340,6,6,5,1,0,T-OZEROVA.local
1750703224704,4,characters,200,OK,Thread Group 1-3,true,,340,6,6,4,1,0,T-OZEROVA.local
1750703224696,13,characters,200,OK,Thread Group 1-6,true,,340,7,7,13,1,0,T-OZEROVA.local
1750703224705,5, HTTP Request Sampler,200,OK,Thread Group 1-2,true,,340,7,7,5,1,0,T-OZEROVA.local
1750703224707,4,characters,200,OK,Thread Group 1-4,true,,340,6,6,4,1,0,T-OZEROVA.local
1750703224708,4,character/2,200,OK,Thread Group 1-3,true,,264,6,6,4,1,0,T-OZEROVA.local
1750703224705,8,character/2,404,Not Found,Thread Group 1-5,false,,273,6,6,8,1,1,T-OZEROVA.local
1750703224703,11,characters,200,OK,Thread Group 1-7,true,,340,7,7,11,1,0,T-OZEROVA.local
1750703224712,4,character/2,404,Not Found,Thread Group 1-4,false,,273,7,7,4,1,1,T-OZEROVA.local
1750703224713,4,characters/id,404,Not Found,Thread Group 1-3,false,,273,7,7,4,1,1,T-OZEROVA.local
1750703224713,6,characters/id,404,Not Found,Thread Group 1-5,false,,273,7,7,6,1,1,T-OZEROVA.local
1750703224709,11,character/2,404,Not Found,Thread Group 1-6,false,,273,8,8,11,1,1,T-OZEROVA.local
1750703224716,6,characters/id,404,Not Found,Thread Group 1-4,false,,273,8,8,6,1,1,T-OZEROVA.local
1750703224717,6, HTTP Request Sampler,200,OK,Thread Group 1-3,true,,340,8,8,6,1,0,T-OZEROVA.local
